,year,sex,suicides_no
0,1985,female,32479
1,1985,male,83584
2,1986,female,33852
3,1986,male,86818
4,1987,female,35006
5,1987,male,91836
6,1988,female,33015
7,1988,male,88011
8,1989,female,41361
9,1989,male,118883
10,1990,female,50118
11,1990,male,143243
12,1991,female,49622
13,1991,male,148398
14,1992,female,51567
15,1992,male,159906
16,1993,female,51331
17,1993,male,170234
18,1994,female,51532
19,1994,male,180531
20,1995,female,54504
21,1995,male,189040
22,1996,female,54583
23,1996,male,192142
24,1997,female,54126
25,1997,male,186619
26,1998,female,55631
27,1998,male,193960
28,1999,female,56215
29,1999,male,199904
30,2000,female,55254
31,2000,male,200578
32,2001,female,52999
33,2001,male,197653
34,2002,female,55549
35,2002,male,200546
36,2003,female,55627
37,2003,male,200452
38,2004,female,53232
39,2004,male,187629
40,2005,female,52035
41,2005,male,182340
42,2006,female,52039
43,2006,male,181322
44,2007,female,53324
45,2007,male,180084
46,2008,female,53973
47,2008,male,181474
48,2009,female,54920
49,2009,male,188567
50,2010,female,54222
51,2010,male,184480
52,2011,female,54616
53,2011,male,181868
54,2012,female,53011
55,2012,male,177149
56,2013,female,51459
57,2013,male,171740
58,2014,female,51556
59,2014,male,171428
60,2015,female,47248
61,2015,male,156392
62,2016,female,3504
63,2016,male,12099
